imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote,males_allages_avg_vote,females_allages_avg_vote,top1000_voters_rating
tt0009559,6.1,316,6.8,7,6.2,5.6,5.7
tt0009608,5.2,684,7.3,8,5.3,4.5,4.1
tt0009611,7.3,5411,6.7,7,7.3,7.4,7
tt0009652,6.7,1323,7.5,8,6.7,6.7,6
tt0009682,5.7,631,5.9,6,5.8,5.3,5.9
tt0009701,7,295,6.6,7,7,7.6,6
tt0009796,6.9,243,6.4,7,6.8,7.8,6.8
tt0009878,7,1050,6.7,7,6.9,7.4,6.3
tt0009892,5.9,941,7.1,10,5.5,8.1,6.1
tt0009893,7.2,1544,6.8,7,7.2,7.6,6.8
tt0009894,7.1,149,7,7,6.9,7,6.2
tt0009900,6.3,824,6.9,7,6.3,5.8,6.3
tt0009915,7.1,141,6.9,7,7,7.5,6.3
tt0009937,7,1269,6.6,7,7,6.9,6.8
tt0009968,7.4,8777,7.5,8,7.3,7.4,7.1
tt0009976,5.7,622,6.7,7,5.9,4.8,5.8
tt0010040,6.5,1284,7.4,8,6.5,6.9,5.8
tt0010060,6,801,6.6,7,6.1,5.5,6.2
tt0010071,6.7,1103,7.7,8,6.7,6.8,5.7
tt0010103,5.4,635,6.5,7,5.6,4.9,5.8
tt0010137,5.4,691,7.5,8,5.6,4.6,4.7
tt0010162,6.6,187,8.4,10,5.7,6.6,4.5
tt0010193,5.8,653,6.5,7,5.9,5.3,6.2
tt0010195,6.9,242,7,7,6.8,6.8,6.4
tt0010208,5.6,517,5.7,6,5.6,6,5.4
tt0010219,3.9,362,6.6,7,4,3.7,3.1
tt0010227,5.7,499,6.5,7,6,4.7,5.8
tt0010247,7.3,1117,6.8,7,7.2,7,7
tt0010267,6.7,906,6.8,7,6.7,7.2,6.4
tt0010281,6.9,1157,7.1,7,6.9,7.2,6.3
tt0010307,7.7,1303,6.9,8,7.7,7.8,7.3
tt0010323,8.1,51644,7.9,8,8.1,8.1,7.5
tt0010418,7,1671,7.9,8,6.9,7.2,6.7
tt0010456,6,162,6.3,6.5,6,6.1,5.4
tt0010466,6.7,142,5.8,6,6.7,7.2,6.1
tt0010484,6.9,160,7,7,7,5.3,6.7
tt0010559,6.4,112,6.6,7,6.3,5.5,6.2
tt0010598,6.6,733,6.1,7,6.6,6.7,6.6
tt0010600,7.4,1539,7,7,7.3,7.6,6.5
tt0010635,5.2,587,6.6,7,5.5,3.8,5.2
tt0010662,5,410,6.6,7,5,4.6,5.2
tt0010680,6.3,225,5.8,6,6.3,6.7,6.4
tt0010726,6.7,980,6.4,7,6.6,7,6.6
tt0010755,6.9,134,6.9,7,6.8,7.3,6.9
tt0010806,7,1519,7.2,7,7,7.1,6.3
tt0010821,6.6,400,6,7,6.5,7.2,6.5
tt0010844,6.6,308,6.4,7,6.6,6.6,6.2
tt0010853,6.9,115,6.9,7,6.9,7.3,7.3
tt0010879,6.9,741,7,7,6.8,7,6.5
tt0010890,6.5,310,6.2,7,6.4,6.6,6.5
tt0010925,5.6,713,6.5,7,5.7,5.5,5.4
tt0010953,6.3,121,6.8,7,6.2,7.1,6.1
tt0010962,6.5,533,6.7,7,6.5,7.1,6.2
tt0010969,6.7,296,6.9,7,6.7,6.5,6.3
tt0011000,6.7,1034,6.8,7,6.7,7.1,6.2
tt0011130,7,4477,7.1,7,7,7.1,6.8
tt0011131,5.4,116,5.4,5,5.4,3.6,5.6
tt0011157,6.6,674,6.7,7,6.5,6.9,6.1
tt0011173,6.3,112,6.4,6.5,6.4,6.6,5.9
tt0011193,6.6,271,7,7,6.5,6.8,6.3
tt0011217,6.4,277,6.8,6,6.3,7.2,6.1
tt0011221,6,791,6,6,5.9,6.3,5.9
tt0011237,7.2,5933,7.2,7,7.1,7.1,6.9
tt0011267,5.1,244,5.5,5,5.1,4.9,5.3
tt0011294,7.1,145,7.2,7,7,7.2,6.7
tt0011302,7,176,6.9,7,6.8,7.5,6.4
tt0011317,6.3,121,6.7,7,6.4,6.7,6
tt0011358,6.7,310,6.5,7,6.7,6.7,6
tt0011369,6.1,111,8.7,10,4,6.5,2.2
tt0011370,6.9,297,7.1,7,6.7,8,5.7
tt0011371,6.7,245,6.8,7,6.7,8.1,6
tt0011387,6.7,1051,6.9,7,6.7,6.6,6.6
tt0011414,5,130,7,8,4.5,6,3.5
tt0011439,7.1,2020,7.3,7,7.1,7.1,6.7
tt0011440,6.6,184,6.4,7,6.7,6.4,6.6
tt0011474,6.7,113,6.5,7,6.9,6.3,6.2
tt0011513,5.7,175,6.3,6,5.7,5.7,5.5
tt0011565,7.4,1898,7.5,8,7.4,7.5,6.9
tt0011588,6.6,321,6.8,7,6.5,6.9,5.9
tt0011607,7.2,975,7.3,7,7.2,7.5,6.6
tt0011641,6.5,143,6.8,7,6.4,6.8,5.4
tt0011647,5.6,121,6,6,5.6,6.1,5.1
tt0011652,6.2,1337,6.3,6,6.1,6.6,6.1
tt0011679,6.1,253,6.7,7,6,6.3,5.3
tt0011716,5.4,563,8,9,5.6,3.4,4.4
tt0011723,6.5,715,6.5,6,6.4,7.2,6
tt0011741,6.3,199,6.7,7,6.2,6.4,5.8
tt0011742,6.1,584,6.3,6,6,7.1,5.9
tt0011753,5.5,152,5.8,6,5.5,4,5.5
tt0011779,6.5,178,6.7,7,6.5,7.2,6.4
tt0011833,6.9,384,7,7,6.9,6.5,6.2
tt0011837,6.1,330,6.2,6,6.1,6.9,5.8
tt0011841,7.5,4734,7.9,8,7.4,7.5,6.8
tt0011865,6.7,1295,7.9,8,6.7,6.7,6.1
tt0011870,6.3,2019,6.4,6,6.3,6.4,6.2
tt0011904,6.8,1003,7,7,6.8,6.8,6.3
tt0011909,6.6,1191,7.8,8,6.6,6.5,5.6
tt0011948,7,337,7,7,7,7.3,6.6
tt0011960,7,973,7.1,7,6.9,7.3,6.2
tt0011979,6.8,436,6.8,7,6.8,6.6,6.3
tt0012016,6.4,167,8.2,10,5.5,5.8,4.9
tt0012027,6.6,844,6.7,7,6.5,7,6.3
tt0012068,6.8,393,7,7,6.7,7,6.3
tt0012122,5.6,118,6,6,5.5,4.9,5.4
tt0012125,6.4,114,7.2,7,6.2,7.5,5.9
tt0012134,7,338,6.8,7,6.8,8.2,5.7
tt0012136,6.4,258,7.9,10,5.9,6.1,4.7
tt0012187,6.6,100,7,7,6.6,6.7,6.5
tt0012190,7.2,2935,7.9,8,7.1,7.3,6.7
tt0012249,7,358,7.2,7,6.9,7.6,5.9
tt0012281,6.8,190,6.8,7,6.8,6.7,6.6
tt0012313,6.8,276,7,7,6.8,7.5,6.2
tt0012314,6.7,229,6.7,7,6.7,5.9,6.3
tt0012334,6.9,197,6.8,7,6.9,6.6,6.6
tt0012349,8.3,101619,8.2,8,8.3,8.4,7.8
tt0012364,8.1,9322,7.9,8,8.1,8,7.4
tt0012382,6.1,258,6.3,6,6,6.4,5.8
tt0012397,6.7,262,7.1,7,6.6,6.9,5
tt0012408,6.5,330,6.8,7,6.5,6.7,6.1
tt0012465,7,286,7,7,7,7.3,7.2
tt0012486,6.2,230,6.2,6,6.1,7.1,5.8
tt0012494,7.7,4695,7.4,8,7.7,7.9,6.8
tt0012513,6.5,194,6.6,7,6.5,6.6,6.3
tt0012532,7.4,4475,7.8,8,7.3,7.5,6.9
tt0012538,6.6,441,6.8,7,6.5,7.4,6.8
tt0012631,6.7,119,6.7,7,6.8,6.4,5.9
tt0012642,7,901,7,7,6.9,7.3,6.8
tt0012645,6.8,114,6.8,7,6.8,6.4,6.5
tt0012650,6.4,199,6.6,7,6.3,6.2,5.8
tt0012651,6.3,1273,6.3,6,6.2,6.4,6.1
tt0012675,6.4,2958,7.2,7,6.2,7,5.9
tt0012745,6.9,130,6.7,7,6.8,7.8,6.3
tt0012752,6.9,800,7,7,6.9,7,6.3
tt0012755,6.8,150,7,7,6.7,7.4,5.3
tt0012763,6.8,1685,7.9,8,6.9,6.9,6.5
tt0012769,5.9,125,6,6,5.9,4.3,5
tt0012806,6.2,298,6.4,6,6.1,7.8,5.5
tt0012928,6,706,8,9,5.9,5.5,4.4
tt0012938,6.8,2189,7.7,8,6.7,6.9,6
tt0012952,6.4,1179,7.2,7,6.4,6.6,5.8
tt0012973,6.9,535,7,7,6.9,7.4,6
tt0012975,6.2,243,7.7,8,5.8,5.7,5
tt0013033,7.1,328,6.6,7,7.1,7.2,6.8
tt0013059,6.3,317,6.6,7,6.3,6.9,6
tt0013075,7.1,1139,7.2,7,7,7.6,6.6
tt0013085,6.2,319,6.2,6,6.1,5.7,5.9
tt0013086,7.9,6839,7.6,8,7.9,7.8,7.1
tt0013122,6.4,107,6.5,7,6.5,6.1,5.8
tt0013134,6.3,136,6.8,7,6.1,7,6.3
tt0013140,7.1,2777,7.1,7,7.1,6.9,6.6
tt0013169,6.5,331,6.7,7,6.4,7.2,5.6
tt0013201,7,1543,7.1,7,7,7.5,6.4
tt0013223,4.9,207,5,5,5,4.7,4.8
tt0013332,6.7,254,7,7,6.8,7.1,6.5
tt0013367,5.5,192,5.7,6,5.6,4.6,5.4
tt0013372,6.2,395,6.8,7,6.3,6.4,5.2
tt0013386,6.7,270,6.8,7,6.6,6.7,6.1
tt0013402,6.7,310,7,8,6.9,5.4,5.4
tt0013404,6.5,297,6.8,7,6.3,7.1,6.3
tt0013428,6.9,105,7,7,6.9,7.1,6.4
tt0013442,7.9,82873,7.9,8,7.9,7.9,7.7
tt0013450,6.7,676,6.9,7,6.7,6.8,6.5
tt0013469,6.4,225,6.5,7,6.4,6.3,6.5
tt0013496,6.9,1436,7,7,6.8,7.4,6.4
tt0013515,6.7,419,6.9,7,6.7,6.4,6.3
tt0013556,7.2,1886,7.5,7,7.2,7.2,6.8
tt0013571,6.6,765,6.7,7,6.6,6.7,6.1
tt0013579,6.9,787,7,7,6.8,7.3,6.2
tt0013592,6.3,345,6.6,6,6.2,6.8,5.9
tt0013597,5.8,526,6.1,6,5.8,5.9,6
tt0013607,5.8,140,6.1,6,5.8,4.7,5.8
tt0013619,6,159,6.2,6,6.2,6.2,5.5
tt0013626,6.7,1853,6.8,7,6.6,6.9,6.7
tt0013662,6.9,397,7.4,8,6.8,7.5,5.8
tt0013674,7,472,7,7,7,6.5,6.2
tt0013688,6.6,609,6.8,7,6.5,6.9,6.5
tt0013704,6.1,108,6.8,6,5.9,6.5,5.9
tt0013705,5.7,130,6.2,6,5.7,6,4.6
tt0013741,6.6,422,6.6,7,6.6,6.6,6
tt0013750,6.4,955,8.2,9,6.2,6.4,5.5
tt0013802,6.4,351,7.3,7,6.2,6.8,5.6
tt0013830,6.8,107,7,7,6.6,7.3,6.2
tt0013909,5.4,308,7.4,8,5.4,3.9,3.9
tt0013933,7.6,1016,7.3,8,7.6,7.6,6.8
tt0013951,6.5,470,6.8,7,6.6,6.3,6.3
tt0014029,6.6,1041,7.8,8,6.6,6.4,5.9
tt0014108,6.9,136,7.1,7,6.9,6.8,6.5
tt0014109,7.1,1022,7.3,7,7,7.4,6.3
tt0014112,5.6,104,5.7,5,5.6,5.3,5.5
tt0014142,7.3,4452,7.3,7,7.2,7.3,7.2
tt0014205,6.2,874,8.3,9,6.1,5.7,4.9
tt0014341,7.8,9351,7.8,8,7.8,7.8,7.4
tt0014358,7.4,3891,7.4,7,7.4,7.6,7.1
tt0014397,6.9,241,6.9,7,6.9,6.4,6
tt0014416,6.5,252,6.8,7,6.4,7,6
tt0014417,7.4,1678,7.6,8,7.4,7.3,7.1
tt0014429,8.1,16798,8,8,8.1,8.2,7.7
tt0014440,7,466,7.2,7,7,6.8,6.2
tt0014446,6.7,234,6.8,7,6.6,7.6,5.9
tt0014463,6.5,350,7,7,6.5,6.7,6
tt0014497,7,770,7.3,7,6.9,7.3,6.1
tt0014516,7,324,7.1,7,6.9,7.5,6.8
tt0014524,6.2,117,6.5,7,6.1,5.7,5.6
tt0014532,6.8,1768,7,7,6.8,6.9,6.8
tt0014538,7.1,3729,7.1,7,7.1,7.1,6.7
tt0014586,6.7,1501,6.8,7,6.6,6.8,6.3
tt0014604,6.5,143,7.2,7,6.4,7.1,5.5
tt0014605,6.9,373,7.1,7,6.8,7,6.2
tt0014606,6.4,102,6.6,7,6.3,7.3,6.1
tt0014611,7.4,1470,7.5,8,7.4,7.4,6.8
tt0014624,7,4426,7.1,7,7,7.3,6.6
tt0014636,6.2,753,8.1,9,6.3,5.7,5.9
tt0014646,6.5,2183,6.7,7,6.5,7,6.4
tt0014672,6.4,332,6.5,7,6.2,6.6,6.3
tt0014702,6.7,393,7,7,6.5,7,6.2
tt0014721,5.9,116,6.2,6,5.9,6.1,5.4
tt0014760,6.9,194,7.1,7,6.8,7.4,6.2
tt0014770,6.5,198,6.8,7,6.4,6.8,6.5
tt0014854,6.8,118,7,7,6,7.1,4.7
tt0014869,6.5,596,7.9,8,6.3,7,4.5
tt0014874,6.3,110,6.5,7,6.3,6.4,6
tt0014898,6.9,510,6.8,7,6.9,6.4,6.6
tt0014900,6.5,695,6.6,7,6.3,7.7,6.4
tt0014925,6.3,119,6.7,7,6.3,7.1,5.6
tt0014945,7.7,2913,7.9,8,7.7,8,7.1
tt0014972,7.8,2771,7.7,8,7.8,8,7.2
tt0014982,6.8,245,7.1,7,6.8,7.1,6.1
tt0015002,7.2,1161,7.3,7,7.1,7.6,6.6
tt0015014,7.2,634,7.4,8,7.1,7.6,6.4
tt0015016,7.2,1797,7.3,7,7.2,7,6.8
tt0015018,7,268,7.6,8,6.9,7,6.2
tt0015022,5.7,661,8.3,9,5.4,5.7,4
tt0015036,6.7,136,6.7,7,6.5,7.2,5.7
tt0015064,8.1,11361,7.9,8,8.1,8,7.7
tt0015116,6.5,932,8,9,6.5,6.4,5.7
tt0015119,7.2,1002,7.4,7,7.1,7.5,6.4
tt0015136,7.1,1446,7.2,7,7.1,7.5,6.3
tt0015145,5.8,439,7.8,8,5.6,6.3,4.3
tt0015163,7.7,8373,7.9,8,7.7,7.9,7.5
tt0015167,6.6,827,6.8,7,6.6,7,6.4
tt0015174,8,3656,7.5,8,8,7.6,7.4
tt0015175,8.1,4801,7.7,8,8.1,7.9,7.7
tt0015202,7,2008,7.1,7,6.9,7.3,6.6
tt0015213,6.9,125,6.9,7,6.8,7.7,6
tt0015224,7.1,797,7.4,8,7,7.2,6.4
tt0015268,7.1,397,7.3,7,7.1,7.3,6
tt0015289,6.4,146,6.7,7,6.2,6.9,5.6
tt0015310,7.1,424,7.3,7,7.1,7,6.4
tt0015312,5.5,212,7.5,8,5.5,5.2,3.4
tt0015324,8.2,35132,7.9,8,8.2,8.2,7.6
tt0015361,7.6,6434,7.4,8,7.6,7.3,7.2
tt0015400,7.8,5141,7.8,8,7.8,7.7,7.2
tt0015493,6.3,189,6.3,6,6.2,6.8,5.6
tt0015498,6.8,417,7.1,7,6.8,6.6,6.8
tt0015500,6,301,8.2,9,5.7,6.3,4.4
tt0015518,6.1,123,8.4,9,4.2,6.2,5
tt0015532,7.8,4872,7.6,8,7.7,8.1,7
tt0015624,7.9,5839,8,8,7.9,7.9,7.7
tt0015634,6.2,618,6.3,6,6.1,6.8,6
tt0015643,7,174,7.4,8,6.5,7.3,4.5
tt0015648,8,49221,7.8,8,8,7.8,7.7
tt0015684,6.3,479,6.8,7,6.4,6,6.1
tt0015687,6.6,227,6.8,7,6.6,6.7,6.5
tt0015693,6.4,660,7.5,8,6.3,6.9,5.9
tt0015758,7,384,7.1,7,7,6.7,6.2
tt0015768,7.1,1562,7.2,7,7.1,7.4,6.6
tt0015772,6.6,1584,7.3,7,6.6,6.8,6.3
tt0015794,6.3,123,6.3,6,6.4,5.5,6.1
tt0015801,7.1,293,7.1,7,7.1,7.4,6.6
tt0015841,7.5,4669,7.4,8,7.5,7.7,6.9
tt0015842,7.2,1299,7.3,7,7.1,7.5,6.7
tt0015861,6.6,387,6.7,7,6.6,6.4,6.8
tt0015863,7.2,3490,7.2,7,7.2,7.6,6.7
tt0015864,8.2,91960,8.1,8,8.2,8.1,7.8
tt0015872,7,138,7.1,7,6.8,7.4,5.5
tt0015881,8.1,8439,7.7,8,8.1,7.8,7.5
tt0015883,6.9,206,6.9,7,6.8,7.3,6.5
tt0015909,6.5,143,7,7,6.6,6.9,4.2
tt0015935,6.7,101,7,7,6.6,7.1,5.7
tt0016004,7.3,921,7.4,8,7.2,7.6,6.5
tt0016005,6.6,519,6.4,7,6.7,6.3,6.4
tt0016006,5.2,120,7.4,8,4.8,6.1,3.6
tt0016013,7.2,457,7.5,8,7.2,8,6.6
tt0016023,6,442,8.4,9,5.4,5.1,4.5
tt0016028,6.7,854,7.6,8,6.6,7.1,5.7
tt0016029,7.1,1259,7.2,7,6.8,7.5,6.4
tt0016039,7,4307,7.1,7,7,6.9,6.7
tt0016104,7.3,2049,8,8,7.3,7.2,6.6
tt0016123,6.2,874,6.4,6,6.2,6.5,6.2
tt0016185,7.1,271,7.1,7,7.1,6.8,6.2
tt0016201,6.2,197,6.2,6,6.1,5.9,5.6
tt0016205,6.7,117,7.2,7,6.8,6,5.8
tt0016220,7.6,15498,7.7,8,7.6,7.7,7.4
tt0016226,6.1,262,6.4,6,6,6.6,5.6
tt0016230,6,1952,6.1,6,5.9,6.4,5.7
tt0016232,7.1,179,7,7,7.1,6.6,5.9
tt0016240,6.8,120,6.8,7,6.8,7.4,6.3
tt0016241,3.8,131,3.4,2,4.4,1.4,5.4
tt0016258,7.1,311,7.3,7,6.9,7.7,6.5
tt0016276,6.5,238,6.6,7,6.5,6.5,6.1
tt0016288,6.4,154,6.6,7,6.4,6.2,5.6
tt0016294,6.7,115,6.7,7,6.7,7.2,7
tt0016308,6.6,461,6.9,7,6.6,7,6.3
tt0016309,3.6,121,3.9,1,3.7,2.6,5.5
tt0016310,6.8,294,6.8,7,6.8,6.3,6.3
tt0016332,7.9,8412,7.8,8,7.9,8,7.6
tt0016338,6.1,110,6.2,6,6.1,7.1,6.2
tt0016377,4.1,107,7.1,8,4.1,1.8,3.2
tt0016392,6.5,181,6.5,7,6.5,6.4,6.3
tt0016394,6.5,806,8,9,6.6,6.2,5.7
tt0016395,7.2,223,7.5,7,6.8,7.7,5.6
tt0016461,6.5,510,7,7,6.5,6.2,6.1
tt0016473,7.2,1550,7.3,7,7.2,7.5,6.8
tt0016480,6.8,279,7,7,6.7,6.6,6
tt0016481,7.4,866,7.5,8,7.4,7.7,6.8
tt0016491,7.7,671,7.4,8,7.6,8.2,6.7
tt0016493,6.7,143,6.9,7,6.7,7,6.4
tt0016544,5.1,1365,5.4,5,5.1,5.2,5
tt0016545,5.8,226,5.9,6,5.8,5.8,5.8
tt0016548,6.9,111,7.2,7,6.8,6.7,6.2
tt0016559,6.9,102,7.1,7,6.9,6.5,6.9
tt0016560,5.4,605,8.3,9,5.1,5.2,4.3
tt0016563,6.6,122,6.9,7,6.6,6.1,6.8
tt0016627,7,970,7.8,8,7,6.8,6.2
tt0016629,6.6,646,6.7,7,6.6,6.3,6.6
tt0016630,7.1,2486,7.1,7,7.1,7.3,6.5
tt0016634,7,315,7.2,7,6.9,6.7,6.2
tt0016640,6.5,324,6.7,7,6.5,6.7,6.9
tt0016641,7.8,6883,7.9,8,7.8,7.4,7.3
tt0016643,6.4,214,6.5,7,6.3,6.2,6
tt0016646,5.9,446,8.3,9,5.6,5.1,4.6
tt0016654,7.1,1583,7.2,7,7,7.2,6.5
tt0016655,6.8,598,6.9,7,6.7,7,6.6
tt0016664,5.5,133,5.6,6,5.5,7.1,6
tt0016669,7.3,1402,7.9,8,7.2,7.5,6.7
tt0016672,5.1,421,5.2,5,5.2,4.6,5.4
tt0016690,6.2,1378,8.2,10,6.3,5.7,5.4
tt0016691,6.7,116,6.9,7,6.7,6.4,5.8
tt0016762,6.6,132,7.1,7,6.6,7,6.5
tt0016804,7,690,7.2,7,6.9,7.2,6.4
tt0016822,6.7,860,7.9,8,6.6,6.8,5.5
tt0016827,4.5,117,7.3,8,4.6,1.2,2.5
tt0016832,6.9,387,7.2,7,7,6.6,6.2
tt0016847,8.1,13010,7.8,8,8.1,8.1,7.5
tt0016854,6.4,194,6.7,7,6.4,7.3,5.9
tt0016871,5.8,731,8.2,9,5.8,6.1,4.7
tt0016884,7.7,3753,8,8,7.6,8,7.1
tt0016895,7.5,1328,7.5,8,7.4,7.7,6.9
tt0016914,6.9,595,6.9,7,6.8,7.3,6.4
tt0016939,6.4,246,6.5,7,6.4,5.7,5.9
